Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Pentapteryx cavus pedes,-1,stable,0.1561344650205146,0.1656802395272207,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.322, 's': 0.0531}",957,0.9556886227544912,0.0881568953286083,0.1948807715924571,0.4505852402803741,0.23
Pentapteryx cavus furiosus,-1,stable,0.1322378406889909,0.1360287122015793,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.285, 's': 0.0408}",787,0.9569313593539704,0.1159249916961991,0.1443648045591445,0.5448810694062476,0.27
Pentapteryx arcus valvatus,401,,0.1750663412964298,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.383, 's': 0.0695}",1070,0.9691428571428572,0.030300953490634,0.1520250934836271,0.6160589651367528,0.13
Pentapteryx serratus cavus labens,-1,stable,0.1572675471768412,0.1615016461098027,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.34, 's': 0.056}",961,0.9539078156312624,0.0755665179938889,0.1316082128521626,0.6366148439502803,0.13
Hexapteryx arcus labens,-1,stable,0.2162367944226339,0.2208093426200711,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",1341,0.9754322111010008,0.0348770631528041,0.2009695759297061,0.4952912034345689,0.17
Hexapteryx cavus labens,138,,0.1635569517791776,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}",1015,0.9413173652694612,0.0688967796975939,0.1107834808292423,0.685889767755386,0.24
Hexapteryx serratus cavus labens,-1,stable,0.1934047795362966,0.1968654574633707,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.062}",1207,0.9739368998628258,0.0694053878968885,0.1565028896456846,0.592614242520488,0.21
Heptapteryx arcus labens,-1,stable,0.2436923425001737,0.2521977927743502,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",1516,0.9704545454545456,0.0427609220612997,0.2169025427679294,0.4578027261348377,0.17
Heptapteryx cavus labens,-1,stable,0.1887061170920234,0.1944363204999678,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}",1168,0.9612403100775194,0.0704762735840745,0.1449130300124021,0.5942893375493019,0.21
Heptapteryx cavus labens cunctans,162,,0.1840635710733756,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.333, 's': 0.048}",1128,0.9583333333333334,0.0552189096719204,0.1241569977678832,0.6434866150020753,0.22
Heptapteryx serratus cavus labens,-1,soup,0.2189539074651307,1.6260118164746034,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.061}",1407,0.9489685124864278,0.0569652744048988,0.167370684595474,0.5625300618507405,0.08
Heptapteryx serratus liquefaciens,-1,stable,0.1991956393177421,0.2192952629817984,"{'R': 10, 'T': 10, 'b': '3/4,1,1', 'm': 0.34, 's': 0.051}",1262,0.9349269588313412,0.0601121463131841,0.1249358235240129,0.6394663381258902,0.19
Octapteryx arcus labens,-1,stable,0.2730302529328037,0.2845815998333097,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}",1735,0.9561128526645768,0.0423845078727974,0.2429920701934085,0.3954502421053549,0.15
Octapteryx cavus labens,461,,0.2109934838186198,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}",1325,0.9603960396039604,0.0646314379430462,0.1640071197508026,0.5441615295295386,0.24
Octapteryx serratus cavus labens,-1,stable,0.2540386056523723,0.2583995137335263,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}",1638,0.961123110151188,0.0476048722661065,0.1694348304995155,0.5699778575755267,0.15
